Name,Weekday,income
HeatherMcBadden,SATURDAY,260891531
Innesdel Castillo,SATURDAY,245765313
JohnsonWhite,SATURDAY,91955960
LiviaKarsen,SATURDAY,142421335
MarjorieGreen,SATURDAY,95303143
MeanderSmith,SATURDAY,53094398
MichaelO'Leary,SATURDAY,131118669
MichelDeFrance,SATURDAY,480574641
MorningstarGreene,SATURDAY,64598715
ReginaldBlotchet-Halls,SATURDAY,92451664
SherylHunter,SATURDAY,143802265
StearnsMacFeather,SATURDAY,27623848
SylviaPanteley,SATURDAY,87097890
AbrahamBennet,SUNDAY,232328748
AlbertRinger,SUNDAY,362985487
AnnDull,SUNDAY,34138288
AnneRinger,SUNDAY,49050829
BurtGringlesby,SUNDAY,112782281
CharleneLocksley,SUNDAY,93745117
CherylCarson,SUNDAY,69553596
DeanStraight,SUNDAY,176873006
DirkStringer,SUNDAY,698820601
HeatherMcBadden,SUNDAY,266458385
Innesdel Castillo,SUNDAY,244679492
JohnsonWhite,SUNDAY,88933984
LiviaKarsen,SUNDAY,137975385
MarjorieGreen,SUNDAY,104815534
MeanderSmith,SUNDAY,56678280
MichaelO'Leary,SUNDAY,125981635
MichelDeFrance,SUNDAY,438321489
MorningstarGreene,SUNDAY,68473054
ReginaldBlotchet-Halls,SUNDAY,80496473
SherylHunter,SUNDAY,148514539
StearnsMacFeather,SUNDAY,27431435
SylviaPanteley,SUNDAY,95337213
AbrahamBennet,THURSDAY,226133921
AlbertRinger,THURSDAY,405676715
AnnDull,THURSDAY,36627442
AnneRinger,THURSDAY,55678731
BurtGringlesby,THURSDAY,103250742
CharleneLocksley,THURSDAY,102081558
CherylCarson,THURSDAY,70730736
DeanStraight,THURSDAY,182913508
DirkStringer,THURSDAY,693463721
HeatherMcBadden,THURSDAY,289587876
Innesdel Castillo,THURSDAY,247744631
JohnsonWhite,THURSDAY,91715665
LiviaKarsen,THURSDAY,168820566
MarjorieGreen,THURSDAY,90204716
MeanderSmith,THURSDAY,56688841
MichaelO'Leary,THURSDAY,130193803
MichelDeFrance,THURSDAY,481154817
MorningstarGreene,THURSDAY,61407062
ReginaldBlotchet-Halls,THURSDAY,89971578
SherylHunter,THURSDAY,148434253
StearnsMacFeather,THURSDAY,22585497
SylviaPanteley,THURSDAY,91590683
AbrahamBennet,TUESDAY,259058032
AlbertRinger,TUESDAY,419021705
AnnDull,TUESDAY,38097808
AnneRinger,TUESDAY,55417862
BurtGringlesby,TUESDAY,114454018
CharleneLocksley,TUESDAY,102419646
CherylCarson,TUESDAY,76905547
DeanStraight,TUESDAY,183459092
DirkStringer,TUESDAY,734550038
HeatherMcBadden,TUESDAY,267891418
Innesdel Castillo,TUESDAY,285473369
JohnsonWhite,TUESDAY,100275590
LiviaKarsen,TUESDAY,145696078
MarjorieGreen,TUESDAY,102488971
MeanderSmith,TUESDAY,63913954
MichaelO'Leary,TUESDAY,125258271
MichelDeFrance,TUESDAY,467420387
MorningstarGreene,TUESDAY,67737441
ReginaldBlotchet-Halls,TUESDAY,89298154
SherylHunter,TUESDAY,163754751
StearnsMacFeather,TUESDAY,31056506
SylviaPanteley,TUESDAY,99289901
AbrahamBennet,WEDNESDAY,214842815
AlbertRinger,WEDNESDAY,403718425
AnnDull,WEDNESDAY,35589006
AnneRinger,WEDNESDAY,46106241
BurtGringlesby,WEDNESDAY,119047498
CharleneLocksley,WEDNESDAY,106731411
CherylCarson,WEDNESDAY,66729907
DeanStraight,WEDNESDAY,168092852
DirkStringer,WEDNESDAY,642376642
HeatherMcBadden,WEDNESDAY,249479672
Innesdel Castillo,WEDNESDAY,245730068
JohnsonWhite,WEDNESDAY,89036569
LiviaKarsen,WEDNESDAY,156662691
MarjorieGreen,WEDNESDAY,94949352
MeanderSmith,WEDNESDAY,49655899
MichaelO'Leary,WEDNESDAY,134525041
MichelDeFrance,WEDNESDAY,439203901
MorningstarGreene,WEDNESDAY,64838804
ReginaldBlotchet-Halls,WEDNESDAY,80548671
SherylHunter,WEDNESDAY,140290965
StearnsMacFeather,WEDNESDAY,24953855
SylviaPanteley,WEDNESDAY,85876351
